314_178;353151.42;6464147.86
314_167;352935.56;6467468.11
314_203;351655.82;6466250.27
314_205;352529.39;6465714.0
314_177;352953.43;6466972.51
314_175;353814.35;6467915.68
314_204;352069.99;6465975.19
314_222;351668.87;6465277.29
314_168;352901.09;6468444.02
314_332;352841.7;6465465.52
314_342;351486.65;6464604.51
314_331;352186.77;6465386.83
314_344;352477.25;6464549.54
314_330;351575.52;6465795.39
314_336;353059.88;6464963.54
314_334;351177.11;6465019.99
314_321;353350.95;6466900.64
314_333;353426.15;6465751.12
314_323;352009.4;6466646.88
314_324;352345.66;6466446.81
314_328;353053.75;6465989.29
314_310;352449.73;6468024.67
314_325;353358.59;6466481.39
314_327;352587.55;6466033.73
314_314;352267.2;6467515.03
314_320;352146.54;6467049.13
314_315;352533.53;6467217.41
314_316;353421.96;6467433.05
314_343;351897.39;6464564.13
314_326;350978.16;6466323.59
314_329;353445.93;6466138.75
314_322;351422.76;6466584.42
314_311;352834.11;6467869.47
314_317;353919.61;6467452.38
314_345;352983.25;6464562.5
314_307;352483.77;6468474.77
314_381;351336.72;6466094.77
314_352;351175.13;6465514.25
314_375;354034.83;6466667.66
314_341;350987.93;6464543.97
314_347;354173.21;6467117.96
314_349;349632.07;6464075.83
314_351;350067.39;6464053.27
314_116;355706.69;6469669.36
314_308;354888.16;6466453.9
314_357;354687.87;6467132.68
314_318;354428.07;6467413.87
314_339;350469.91;6464523.86
314_350;350634.01;6464132.5
314_353;351763.11;6464011.92
314_358;351275.48;6464078.43
314_367;354612.86;6466769.28
314_346;354896.1;6467461.98
314_360;349913.16;6463592.99
314_363;351475.54;6463635.87
314_366;355196.68;6467136.12
314_376;352005.51;6463618.89
314_638;346957.23;6459103.55
314_306;355113.31;6466760.72
314_648;347747.29;6458831.77
314_147;352193.57;6463267.0
314_133;354987.62;6469310.66
314_441ST2;356443.82;6470242.39
314_304;354283.43;6469773.1
314_337;350740.02;6464947.99
314_150;351755.64;6463234.52
314_305;353837.13;6466444.22
314_356;352407.52;6465132.1
314_359;349402.3;6463629.21
314_370;350182.78;6463147.93
314_371;350685.49;6463195.3
314_372;352679.4;6463354.45
314_364;352511.26;6463717.71
314_303;355679.67;6467204.63
314_369;349658.73;6463040.23
314_382;349105.17;6463102.21
314_247;350663.44;6461657.04
314_313;354782.75;6467887.37
314_377;354344.05;6467905.84
314_141;353246.94;6468876.95
314_231;349200.28;6462315.08
314_348;349152.29;6464053.06
314_309;354017.05;6468444.15
314_161;350006.42;6462702.28
314_300;354550.99;6468407.39
314_156;350498.28;6462728.05
314_136;353699.48;6468909.96
314_196;352898.73;6462971.87
314_365;352962.85;6463706.38
314_139;355015.08;6468378.26
314_142;354252.1;6468885.5
314_158;350281.36;6462286.28
314_159;349417.24;6462682.9
314_160;350712.7;6462317.99
314_162;351034.72;6462742.9
314_138;354683.38;6468894.45
314_122;355432.34;6468833.9
314_127;354786.65;6469809.14
314_154;350377.7;6461988.29
314_155;351447.06;6462810.65
314_130;353491.01;6469371.41
314_140;355515.73;6468367.61
314_157;349651.61;6462290.92
314_121;355391.25;6469284.21
314_126;355226.6;6469812.03
314_120;352681.41;6468936.83
314_355;352703.07;6464109.71
314_169;353226.6;6463236.78
314_172;353424.78;6464548.37
314_173;351990.42;6462969.13
314_190;353478.93;6463694.13
314_183;354830.96;6464055.46
314_199;353360.49;6462758.77
314_200;352400.07;6462930.85
314_174;353887.56;6462688.97
314_170;353609.52;6462313.02
314_188;355182.87;6463767.9
314_194;354758.19;6463573.53
314_198;354107.28;6462246.06
314_186;354613.44;6463177.01
314_202;354809.18;6462734.43
314_189;355038.47;6463174.21
314_195;355486.26;6463183.24
314_100;355010.66;6470170.74
314_201;354583.52;6462278.56
314_184;353814.92;6461866.32
314_206;353304.62;6461970.49
314_104;354234.53;6471358.12
314_240;350162.3;6461679.84
314_192;354409.96;6463543.76
314_213;354382.26;6461905.23
314_114;354204.84;6470497.23
314_144;355259.32;6467940.77
314_354;352223.93;6464093.52
314_105;356138.19;6470536.88
314_112;355857.02;6469315.97
314_450;351855.91;6467322.98
314_113;356177.67;6469702.27
314_452;351278.1;6466962.5
314_101;354605.75;6471639.69
314_455;351911.55;6467818.86
314_103ST2;354089.59;6470137.6
314_436;357667.22;6468968.99
314_107;353360.93;6471143.96
314_107;353360.93;6471143.96
314_108;354807.68;6472113.04
314_233;351195.78;6462333.84
314_428;357865.42;6469319.45
314_109;354114.53;6471724.3
314_427;357579.54;6468748.27
314_433;356347.56;6468777.24
314_111;353715.86;6471755.98
314_229;348923.8;6462724.89
314_241;348927.5;6463620.13
314_239;350947.44;6461969.39
314_176;354485.29;6463906.87
314_230;349422.62;6461866.47
314_143;353496.23;6468374.58
314_238;351603.54;6462426.85
314_242;348709.31;6463124.72
314_245;348535.76;6462757.12
314_243;348699.5;6462346.5
314_246;348202.05;6463118.02
314_145;355404.02;6467483.42
314_248;348560.27;6463891.18
314_603;355080.21;6462279.17
314_601;354809.93;6461999.09
